Team ID,Team Name,Creativity and Originality,Functionality,Design,Potential Impact,Growth,Adherence to Arcade Theme
fine-ferret-pop-boldly,team1,5,6,0,5,5,5
bouncy-scholarship-listened-noisily,team2,5,7,5,5,5,5
dismal-workman-refuse-bitterly,team3,5,2,5,5,5,5
funded-outset-possessed-repeatedly-prhi,team5,5,5,5,5,5,5
deluded-ocelot-tricked-boastfully,team4,5,9,0,5,5,5
grande-colors-flapped-defiantly-prhi,team 6,5,5,5,5,5,5
ferocious-assignment-pumped-vivaciously-prhi,team7,5,1,5,5,5,5
standing-pointer-shock-unfortunately-prhi,team8,5,5,5,5,5,5
blah-ascent-signed-separately-prhi,team9,5,5,5,5,5,5
harmonious-petunia-melted-violently-prhi,team10,5,5,5,5,5,5
guilty-dromedary-decided-tremendously-prhi,team11,5,3,5,5,5,5
synthetic-abundance-march-highly,team12,5,5,5,5,5,5
indebted-mowing-settle-gleefully,team23,5,5,5,5,5,5
wordless-frenchman-complete-correctly-prhi,team31,5,6,5,5,5,5
entertained-enlightenment-attach-viciously-prhi,team33,5,6,5,5,5,5
special-fragmentation-grabbed-yieldingly,team46,5,5,5,5,5,5