Team Name,Tracks,Team ID
Mochampions LLC,"Best Arcade Hack (most arcade-themed), Best Developer Tool *Sponsored by Warp*, Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",encouraged-christianity-cried-sternly-first
Hang and Mia,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)",irrational-saloon-rejected-violently-prhi-first
Paw and Order,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",partisan-quorum-return-obediently-first
Serena & Karina Code,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of MongoDB Atlas (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)",congressional-mowing-landed-highly-first
Codex,"Best Use of AWS (requires usage of AWS!), Best Developer Tool *Sponsored by Warp*, Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",haughty-boar-scrubbed-wildly
Jubilant Game Devs,Best Arcade Hack (most arcade-themed),gilded-creator-bake-rigidly-first
Kaizen,"Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",halfbreed-hardship-relax-merrily
Friend Graph,"Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH)",dumb-commissioner-chew-loudly
Stacked & Loaded,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",oncoming-dossier-print-fortunately-first
Northeastern Undergraduate Engineers,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",utter-clothing-fixed-playfully
BiteQuest,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH)",responsible-solemnity-rinse-wetly
Learn2Play,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",sleek-squid-clean-monthly-first
MediScan,"Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",interrogated-advancement-perform-certainly-prhi-first
ReVive,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",skeleton-function-chopped-successfully-prhi-first
Script Squad,Best Use of Gen AI (judged by MLH),haunting-widget-damaged-generally-first
Eatery,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",small-aardvark-precede-shrilly-first
JobQuest,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH)",foolhardy-imperialism-exercised-cruelly
SideQuest,"Best Arcade Hack (most arcade-themed), Best Use of Terraform (judged by MLH), Best Use of Gen AI (judged by MLH)",lonely-aggression-cheer-frightfully
Newsference,"Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",mocking-iris-imagine-regularly-first
LeTeam,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH)",devious-apologise-sighed-shakily-first
Best Friends Forever,"Best Arcade Hack (most arcade-themed), Best Domain Name from GoDaddy Registry (judged by MLH)",degraded-dingo-cross-powerfully
Diabetes 360,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",bellied-blossom-frighten-wonderfully-prhi-first
Pillai-Fan-Club,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",printed-grandeur-refused-seriously
See My Project,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Developer Tool *Sponsored by Warp*, Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",penned-hedgehog-connect-verbally
bridge,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",traverse-postponement-wasted-yieldingly-prhi
bAInoculars,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",enlightened-sufferer-observe-truthfully
ScrolleX,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Developer Tool *Sponsored by Warp*, Best Use of Gen AI (judged by MLH)",incomplete-allegory-impress-certainly-first
MemoReplay,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",noncommercial-tavern-punctured-viciously-prhi
Mr. Lard,Best Arcade Hack (most arcade-themed),noticed-outset-tired-less
Arcadeify,Best Arcade Hack (most arcade-themed),melancholy-formality-choke-fondly-first
CareerBuddy,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",frightened-maple-succeed-madly
Sick ward,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",haunted-repayment-tip-vainly-first
radio rebel,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",sheepish-reformer-moaned-seldom-prhi-first
Plabypus,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",deodorant-legislation-subtract-kiddingly-first
signify,"Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",one-year-illustrator-dressed-frantically
RCM Games,"Best Arcade Hack (most arcade-themed), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",irrational-delicacy-inform-frankly
Jazz Frogs,"Best Arcade Hack (most arcade-themed), Best Use of AI *powered by Reach Capital* (judged by MLH)",authoritarian-rhinoceros-pedalled-hopelessly-first
WriteUp,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",worsted-bending-record-playfully-first
Kyron Medical,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best Developer Tool *Sponsored by Warp*, Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",anxious-vindication-tamed-badly-prhi-first
erjj (er-juh),"Best Design Hack (best no-code project prototyped in Figma or another design software), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",dorky-spaghetti-hurried-questioningly-prhi-first
Just Us Two,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",endangered-interval-practised-meaningfully-first
sigma bois,Best Design Hack (best no-code project prototyped in Figma or another design software),inoffensive-sesame-shaded-beautifully
The Zeroth Sex,"Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",portmanteau-brainstorming-analyse-stealthily-first
First Aid Frontier,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative)",derisive-dahlia-polished-gently-prhi-first
PillPall,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of Gen AI (judged by MLH)",hyper-newt-alert-greedily-prhi-first
DrugAwaRE,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of Gen AI (judged by MLH)",critical-specs-bubble-majestically-prhi
DrugAwaRE,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of Gen AI (judged by MLH)",unsuccessful-earnings-haunted-defiantly-prhi
Wolf Pack,"Best Arcade Hack (most arcade-themed), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",greener-mango-mended-yearly-first
Kairos,"Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",ignored-publisher-milked-famously
Matcha Loops,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",shaken-theater-argued-frankly-prhi
Jamone,Best of Patient Safety (judged by Pittsburgh Regional Health Initiative),sincere-diploma-asked-quizzically-prhi-first
guidEd,"Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",detective-hierarchy-answer-nervously
The Reel Talkers,"Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",productive-brunch-scolded-really-first
RelieverRX,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",disgraced-counselor-use-quizzically-prhi-first
foodie,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",diagonal-zinnia-damage-partially
Real Shawties,"Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",vain-sunflower-colour-carelessly-prhi-first
HealQuest,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",mellow-digger-removed-judgementally-prhi
Algorhythm,"Best Arcade Hack (most arcade-themed), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",winnable-today-welcome-optimistically
El Paca,"Best Arcade Hack (most arcade-themed), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)",speedy-tourist-contained-too-first
MaxWell,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",socialized-scooter-ignored-quietly-prhi
Henree Gaming,Best Arcade Hack (most arcade-themed),funny-reader-added-kindly
InTune,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",comparable-allies-lightened-yesterday
IM GOOD AT CS IM GOOD AT CS IM GOOD AT CS,"Best Developer Tool *Sponsored by Warp*, Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",detective-brotherhood-label-smoothly
B-NATs,Best of Patient Safety (judged by Pittsburgh Regional Health Initiative),impulsive-iteration-snored-noisily-prhi
Othello,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",gilded-residency-grinned-shakily-prhi
YourCade,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Developer Tool *Sponsored by Warp*, Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",flowing-darkness-competed-terribly
TailwindTitans,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)",multidisciplinary-crocodile-dared-lightly
HealthyTales,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",huddled-spectacle-wander-monthly-prhi
D&R,Best Use of AI *powered by Reach Capital* (judged by MLH),advised-recipe-surrounded-loosely
C@B_GPT,"Best Developer Tool *Sponsored by Warp*, Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",recumbent-hello-shade-strictly
LeBeet James,"Best Arcade Hack (most arcade-themed), Best Domain Name from GoDaddy Registry (judged by MLH)",disgraced-pairing-interest-beautifully-first
The CompJosters,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)",emergency-projection-stroke-loudly
Zoomies,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of MongoDB Atlas (judged by MLH), Best Use of Gen AI (judged by MLH)",patriot-relaxation-press-too-prhi
MetaPhysical,"Best Arcade Hack (most arcade-themed), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",unparalleled-semifinal-vanish-monthly-first
Yay,Best Arcade Hack (most arcade-themed),content-raccoon-snored-coaxingly-first
Veritai,"Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",wellbred-reformer-banged-shakily
Skeleton Key,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)",patronizing-adoption-reigned-yearly-prhi
FindYourGig,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)",widen-differentiation-thawed-quarrelsomely
